North America,Canada,Pivotal,David,Backup Vendor,Local EOR ,,,,,,,8%,,,N/A,$0,12/22/2025,,Direct Entity,,BSethuraman@pivotalsolutions.com,Badri Sethuraman,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1cNVmOsYNNDGnIOEq3RvqUH6yXp5NxkfQk5AiyGAgIms/edit,"July 15, 2026",
North America,Canada,Remote,David,Backup Vendor,Local EOR ,,,,,,,USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,,RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
North America,Canada,Procloz,David,Backup Vendor,Local EOR ,,,,,,,USD 350,N/A,1 month,N/A,N/A,• Uses a third party platform to manage leaves,PRO,Direct Entity,Signed MSA,"sbudhraja@procloz.com, dtaneja@procloz.com, nsharma@procloz.com, awasal@procloz.com","Shreya Budhraja 
Damanpreet Singh Taneja 
Niraj Kumar Sharma 
Amandeep Singh Wasal ","5 June, 2026",Active,https://docs.google.com/spreadsheets/d/1pN7P6qmfF-FIAycPc_mCWE2ivBba3CWGXVLQWMkTEmE/edit,6/4/2026,
North America,Canada,Procloz,David,Backup Vendor,Expat EOR,,,,,,,USD 550,USD 500,1 month,N/A,N/A,• Uses a third party platform to manage leaves,PRO,Direct Entity,Signed MSA,"sbudhraja@procloz.com, dtaneja@procloz.com, nsharma@procloz.com, awasal@procloz.com","Shreya Budhraja 
Damanpreet Singh Taneja 
Niraj Kumar Sharma 
Amandeep Singh Wasal ","5 June, 2026",Active,https://docs.google.com/spreadsheets/d/1pN7P6qmfF-FIAycPc_mCWE2ivBba3CWGXVLQWMkTEmE/edit,6/4/2026,
Africa,Central African Republic,Workforce Africa,David,Preferred Vendor,Local EOR ,USD 700 - 800,USD 350 - equivalent of service fee,1 month salary,USD 350,TBC,,USD 550,USD 200,N/A,USD 200,TBC,"• Pricing valid until December 31st, 2025",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Central African Republic,Workforce Africa,David,Preferred Vendor,Expat EOR,USD 800 - 900,USD 350 - equivalent of service fee,1 month salary,USD 350,TBC,,USD 650,USD 200,N/A,USD 200,TBC,"• Pricing valid until December 31st, 2025",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Chad,Africa HR Solutions,David,Preferred Vendor,Local EOR ,USD 600 - 700,USD 390 - 540,1 month,N/A,N/A,,USD 450,USD 390,1 month,N/A,N/A,,AHR,Unknown,Signed MSA,ggeraghty@africa-hr.com,Grant Geraghty,"5 June, 2026",Active,https://docs.google.com/spreadsheets/d/16l8VyrJGEBOUb3_o77qAv4YEy0q7AgTQuRDgskl7-3Y/edit,6/17/2026,
Africa,Chad,Employ Africa Group,David,,Local EOR ,,,,,,,USD 600,N/A,2 months,N/A,18% on total invoice,• Offers in-house recruitment service in all of their entities,EAG,Direct Entity,,janine@employ-africa.com,Janine Shortt,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Z7MO5hB6JgipuF2kMmiD6wjXSUefToPnO34cHZd3bxM/edit,7/15/2026,
Latin America,Chile,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Latin America,Chile,Ontop,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 450,1 month,N/A,N/A,,USD 300,,,N/A,,,,Direct Entity,,"schacon@getontop.com,
skhangan@getontop.com","Santiago Chacón, Shounak Khangan ","5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1gtNRUMOIyoq48djDg6Sp25m_25FrM_kC0EYbTPtU0cg/edit,6/17/2026,Tier 0
Latin America,Chile,Enlace Persona,David,,Local EOR ,,,,,,,USD 450,USD 50,1 month Tec,N/A,19% on service fee and payroll,,,Direct Entity,,"msaldes@enlacepersonas.cl, pvalenzuela@enlacepersonas.cl","Mariana,
Paulina ","29 June, 2027",Active,https://docs.google.com/spreadsheets/d/1UfTP_VCcJPzK9shb-PqYzGsJJV-oGH0Gvmj9bejqMhg/edit,"July 1, 2026",
Latin America,Chile,Enlace Persona,David,Preferred Vendor,Expat EOR,"Salary lower than USD 850: USD 500 - 600
Salary USD 851 - 1,500: USD 580 - 680
Salary 5,000+: USD 680 - 780
Bank Fee: USD 85 / invoice",USD 450 - 550,1 month,N/A,"VAT: 16% on total invoice
IGTF: 3% on total invoice",,USD 450,USD 50,1 month Tec,N/A,19% on service fee and payroll,Bi-weekly payment is possible,,Direct Entity,Signed MSA,"msaldes@enlacepersonas.cl, pvalenzuela@enlacepersonas.cl","Mariana,
Paulina ","29 June, 2027",Active,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"June 10, 2026",
Latin America,Chile,Rivermate,David,,Local EOR ,,,,,,,"USD 250 

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 200,3 months ,N/A, 0.25% subject to total invoice fee,"Bank Fee per Invoice: USD 69
Exchange rate 2.5% on total invoice",SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Chile,Rivermate,David,,Expat EOR,,,,,,,"USD 550

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 300,3 months,N/A,0.25% subject to total invoice fee,"Bank Fee per Invoice: USD 69
Exchange rate 2.5% on total invoice",SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Chile,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Latin America,Chile,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Latin America,Chile,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Latin America,Chile,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,10% on expense reimbursement,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Latin America,Chile,Biz Latin Hub,David,Inactive,Local EOR ,,,,,,,USD $750 or 13% of total monthly employee cost (whichever is greater) per Employee,USD 120,3 x monthly total employee cost        ,USD 120,19% on total invoice,,,Direct Entity,Terminated,craig@bizlatinhub.com,Craig Dempsey,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1fnqBZQEM3l1NN2d2Q4gYZmoROuNuXW8dau4BnptpfRc/edit,"June 10, 2026",Tier 0
Latin America,Chile,López & James,David,,PEO,,,,,,,8%,- Employment contract & social security affiliations: 500 USD per employee,2 months gross salary ,N/A,$0,,,Uses Vendor,,lmarquez@lopezjames.com,Laura Márquez,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1W0gu9xPlPGcaiHU4MFMQd3PIphKpsTU4vd0TdD6Ec_0/edit,"July 15, 2026",
Asia,China,Lethic Talent,Jasmine,Preferred Vendor,Expat EOR,"CNY 3,100",USD 0 - 450,1 month,"If project terminated after initiating visa application process (even before submitting visa), partner will charge the full amount of visa service fee + 50% of EOR service fee",6.7687%,,"CNY 2,000",N/A,1 month deposit,"If project terminated after initiating visa application process (even before submitting visa), partner will charge the full amount of visa service fee + 50% of EOR service fee",6.7687%,,,Direct Entity,,wing_li@talent-spot.com.cn,Wing Li,,Inactive,,,Tier 0
Asia,China,Remote,David,Backup Vendor,Local EOR ,,,,,,,USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,12/22/2025,RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Asia,China,Horizons,David,Backup Vendor,Local EOR ,,,,,,,USD 199,N/A,1 month,N/A,N/A,,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,China,Horizons,David,Backup Vendor,Expat EOR,,,,,,,USD 399,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,China,Rivermate,David,,Local EOR ,,,,,,,USD 350,Waived,1 month,Waived for placements over 6 months or 1 month service fee under 6 months,6.77% on total invoice,,,Direct Entity,Signed MSA,tim.denney@eosglobalexpansion.com,Tim Denney,"31 December, 2026",Active,,,Tier 2
Asia,China,Rivermate,David,,Expat EOR,,,,,,,"13% of TEC, min USD 750",USD 500,1 month,Waived for placements over 6 months or 1 month service fee under 6 months,6.77% on total invoice,,,Direct Entity,Signed MSA,tim.denney@eosglobalexpansion.com,Tim Denney,"31 December, 2026",Active,,,Tier 2
Latin America,Colombia,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Latin America,Colombia,Ongresso,David,Backup Vendor,Local EOR ,,,,,,,USD 750,N/A,,N/A,,12/22/2025,,Direct Entity,Terminated,joe@ongresso.com,Joe Novitzki,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1vLqWGlW9taglBJm2irX2FfYoofHVEO1nvbHGKW80Hjs/edit,"June 10, 2026",Tier 0
Latin America,Colombia,Rivermate,David,,Local EOR ,,,,,,,"USD 250 

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 100,1 month,N/A,,Bank Fee per Invoice: USD 69. 2.5% FX charge on Total Invoice ,SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Colombia,Rivermate,David,,Expat EOR,,,,,,,"USD 550

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 300,1 month,N/A,,Bank Fee per Invoice: USD 69. 2.5% FX charge on Total Invoice ,SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Colombia,Enterprise Workforce Solutions,David,Preferred Vendor,Local EOR ,USD 525 - 625,USD 0 - 250 ,1 month,N/A,N/A,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Latin America,Colombia,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Latin America,Colombia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Latin America,Colombia,Horizons ,David,Backup Vendor,Expat EOR,,,,,,,USD 399,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Latin America,Colombia,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Latin America,Colombia,Biz Latin Hub,David,Inactive,Local EOR ,,,,,,,USD $750 or 13% of total monthly employee cost (whichever is greater) per Employee,USD 120,1.5 x monthly total employee cost        ,USD 120,19% on service fee,,,Direct Entity,Terminated,craig@bizlatinhub.com,Craig Dempsey,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1fnqBZQEM3l1NN2d2Q4gYZmoROuNuXW8dau4BnptpfRc/edit,"June 10, 2026",Tier 0
Latin America,Colombia,López & James,David,,PEO,,,,,,,8%,- Employment contract & social security affiliations: 500 USD per employee,2 months gross salary,N/A,$0,,,Direct Entity,,lmarquez@lopezjames.com,Laura Márquez,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1W0gu9xPlPGcaiHU4MFMQd3PIphKpsTU4vd0TdD6Ec_0/edit,"July 15, 2026",
Latin America,Colombia,Roots,David,Backup Vendor,Local EOR,,,,,,,"• 1 pax: USD 450/pax
• 2-5 pax: USD 400/pax
• 6 or more: USD 350/pax",N/A,1 month,N/A,N/A,,,Direct Entity,Established Contact,horacio@rootseor.com,Horacio Represas,"5 June, 2026",Active,https://docs.google.com/spreadsheets/d/18MUec3UsUX-IW8iusItaN4QxHtLexbNeYHFI1AvVdxo/edit,6/4/2026,
Latin America,Costa Rica,Bradford Jacobs,Jasmine,Preferred Vendor,Local EOR ,EUR 650 - 750,EUR 650 - 750,1 month,N/A,N/A,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Latin America,Costa Rica,Rivermate,David,,Local EOR ,,,,,,,"USD 250 

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 100,1 month,N/A,,Bank Fee per Invoice: USD 69. 2.5% FX charge on Total Invoice ,SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Costa Rica,Rivermate,David,Preferred Vendor,Expat EOR,"USD 700 - 800

12% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 150",USD 450 - 550,1 month,N/A,TBC,,"USD 550

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 300,1 month,N/A,,,SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,7/15/2026,
Latin America,Costa Rica,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Latin America,Costa Rica,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Latin America,Costa Rica,Biz Latin Hub,David,Inactive,Local EOR ,,,,,,,USD $750 or 13% of total monthly employee cost (whichever is greater) per Employee,USD 120,2 x monthly total employee cost	,USD 120,18% on service fee only,,,Direct Entity,Terminated,craig@bizlatinhub.com,Craig Dempsey,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1fnqBZQEM3l1NN2d2Q4gYZmoROuNuXW8dau4BnptpfRc/edit,"June 10, 2026",Tier 0
Europe,Croatia,Profesio,David,Preferred Vendor,Local EOR ,USD 350 - 450,N/A,1 month,N/A,N/A,,10% on TEC min USD 200,N/A,1 month,N/A,N/A,,,Direct Entity,,Vanja.horvat@profesio.hr,Vanja Horvat Profesio,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/1QH5muRwW0BQtEA_Aev_YTuIXCukURZMeDNiHeQcnHjU/edit,6/17/2026,
Europe,Croatia,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Croatia,Horizons,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Croatia,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
